"cohort","id","trueHRD","CNA","ASCN","SNV","SNV+CNA","SNV+ASCN"
"TCGA","TCGA-A2-A0YF-01","0",0,0.002,0.002,0.004,0
"TCGA","TCGA-A2-A0YG-01","0",0.036,0.01,0.026,0.022,0.014
"TCGA","TCGA-A2-A0YH-01","0",0,0.004,0.014,0.004,0
"TCGA","TCGA-A2-A0YI-01","0",0.002,0,0,0,0.002
"TCGA","TCGA-A2-A0YJ-01","0",0.05,0.01,0.04,0.042,0.022
"TCGA","TCGA-A2-A0YK-01","1",0.608,0.662,0.65,0.664,0.688
"TCGA","TCGA-A2-A0YL-01","0",0,0,0.004,0,0.004
"TCGA","TCGA-A2-A0YM-01","1",0.666,0.674,0.624,0.61,0.666
"TCGA","TCGA-A2-A0YT-01","0",0.016,0.066,0,0.004,0.01
"TCGA","TCGA-A2-A1FV-01","0",0.002,0.006,0,0.002,0
"TCGA","TCGA-A2-A1FW-01","0",0.004,0.012,0.018,0.01,0.006
"TCGA","TCGA-A2-A1FX-01","0",0.02,0.012,0,0.002,0.002
"TCGA","TCGA-A2-A1FZ-01","0",0,0.002,0.002,0,0.004
"TCGA","TCGA-A2-A1G0-01","0",0,0,0,0,0
"TCGA","TCGA-A2-A1G1-01","0",0.004,0.002,0.028,0.016,0.014
"TCGA","TCGA-A2-A1G4-01","0",0,0.002,0.004,0,0
"TCGA","TCGA-A2-A1G6-01","0",0.008,0,0,0.002,0.002
"TCGA","TCGA-A2-A259-01","0",0.002,0,0.002,0.002,0
"TCGA","TCGA-A2-A25A-01","0",0.012,0.008,0.174,0.036,0.014
"TCGA","TCGA-A2-A25B-01","1",0.794,0.804,0.692,0.754,0.778
"TCGA","TCGA-A2-A25C-01","0",0.004,0.002,0,0,0
"TCGA","TCGA-A2-A25D-01","0",0.076,0.05,0.006,0.032,0.02
"TCGA","TCGA-A2-A25E-01","1",0.93,0.862,0.758,0.79,0.836
"TCGA","TCGA-A2-A25F-01","0",0,0,0.002,0,0.002
"TCGA","TCGA-A2-A3KD-01","0",0.002,0.004,0,0,0
"TCGA","TCGA-A2-A3XT-01","0",0.178,0.162,0.214,0.246,0.206
"TCGA","TCGA-A2-A3XU-01","0",0.014,0.004,0,0.002,0
"TCGA","TCGA-A2-A3XV-01","0",0,0,0.002,0,0.002
"TCGA","TCGA-A2-A3XW-01","0",0.002,0.006,0,0,0
"TCGA","TCGA-A2-A3XX-01","0",0.022,0.028,0.028,0.05,0.028
"TCGA","TCGA-A2-A3XZ-01","0",0.012,0.012,0.002,0.006,0.002
"TCGA","TCGA-A2-A3Y0-01","0",0.23,0.286,0.076,0.17,0.212
"TCGA","TCGA-A2-A4S1-01","0",0.004,0.018,0.13,0.108,0.06
"TCGA","TCGA-A2-A4S2-01","0",0.054,0.028,0.018,0.014,0.008
"TCGA","TCGA-A2-A4S3-01","0",0.106,0.256,0.106,0.15,0.24
"TCGA","TCGA-A7-A0CD-01",NA,0.002,0,0.002,0.006,0.002
